X,Y,Z
-2.828427,-45.000000,2.828427
-2.000000,-45.000000,3.464102
-3.464102,-45.000000,2.000000
-3.863703,-45.000000,1.035276
-4.000000,-45.000000,0.000000
-3.863703,-45.000000,-1.035276
-2.449746,-45.000000,1.716267
-1.588892,-45.000000,2.578868
-1.035276,-45.000000,3.863703
-0.000000,-45.000000,4.000000
-2.862897,-45.000000,0.895448
-3.464102,-45.000000,-2.000000
-2.911754,-45.000000,-0.777012
-2.828427,-45.000000,-2.828427
-1.527105,-45.000000,0.626015
-0.876613,-45.000000,1.625852
-0.054639,-45.000000,2.910290
-1.840560,-45.000000,-0.497871
-2.260308,-45.000000,-1.730365
-2.000000,-45.000000,-3.464102
-1.726549,-45.000000,-2.284339
-0.624958,-45.000000,0.548501
-1.032232,-45.000000,-0.159065
-1.035276,-45.000000,-3.863703
-0.998011,-45.000000,-1.363510
-1.126167,-45.000000,-2.739592
-0.162373,-45.000000,-0.427420
-3.452161,-45.000000,0.923107
-3.434139,-45.000000,-0.919247
-2.486192,-45.000000,-2.483784
-3.092799,-45.000000,1.785191
-3.572367,-45.000000,-0.010718
-3.060804,-45.000000,-1.752538
-1.762253,-45.000000,-3.056325
-2.520987,-45.000000,2.523182
-0.911876,-45.000000,3.420217
-1.766082,-45.000000,3.085071
-0.921473,-45.000000,-3.415945
-0.003396,-45.000000,-3.555810
-3.676423,-45.000000,0.985095
-3.668371,-45.000000,-0.982819
-2.672318,-45.000000,-2.672318
-3.295233,-45.000000,1.902523
-3.805604,-45.000000,-0.004054
-3.280203,-45.000000,-1.888476
-1.891487,-45.000000,-3.279010
-2.689181,-45.000000,2.689181
-0.981138,-45.000000,3.661596
-1.894757,-45.000000,3.291156
-0.982896,-45.000000,-3.660345
-0.000528,-45.000000,-3.798093
