X,Y,Z
3.863703,-1.035276,60.000000
2.000000,3.464102,60.000000
1.035276,3.863703,60.000000
3.863703,1.035276,60.000000
0.000000,4.000000,60.000000
4.000000,0.000000,60.000000
1.035276,-3.863703,60.000000
3.464102,2.000000,60.000000
2.828427,2.828427,60.000000
3.464102,-2.000000,60.000000
2.828427,-2.828427,60.000000
2.756833,-1.145617,60.000000
2.000000,-3.464102,60.000000
2.900818,-0.410037,60.000000
2.976711,0.374985,60.000000
0.229222,2.882329,60.000000
1.419240,2.452872,60.000000
2.548483,1.430325,60.000000
2.082272,0.235546,60.000000
1.330934,1.011084,60.000000
0.382177,1.570139,60.000000
2.186780,-1.737971,60.000000
1.386438,-2.626317,60.000000
0.262904,0.355880,60.000000
1.179220,-0.203290,60.000000
1.232392,-1.321248,60.000000
2.056386,-0.763769,60.000000
0.190759,-0.766057,60.000000
0.431891,-1.808876,60.000000
39.863703,1.035276,60.000000
34.964724,-3.863703,60.000000
37.035276,3.863703,60.000000
34.964724,3.863703,60.000000
37.035276,-3.863703,60.000000
38.000000,3.464102,60.000000
39.863703,-1.035276,60.000000
39.464102,-2.000000,60.000000
38.828427,-2.828427,60.000000
34.000000,3.464102,60.000000
33.171573,2.828427,60.000000
33.171573,-2.828427,60.000000
32.136297,1.035276,60.000000
34.000000,-3.464102,60.000000
32.136297,-1.035276,60.000000
32.535898,-2.000000,60.000000
32.000000,0.000000,60.000000
40.000000,0.000000,60.000000
39.464102,2.000000,60.000000
38.828427,2.828427,60.000000
38.627273,1.078764,60.000000
32.535898,2.000000,60.000000
34.870635,-2.844886,60.000000
35.620268,-3.009655,60.000000
36.000000,-4.000000,60.000000
36.000000,4.000000,60.000000
36.994224,2.646675,60.000000
36.513272,2.962177,60.000000
35.565783,2.997863,60.000000
33.092668,-0.503239,60.000000
36.693633,-2.964418,60.000000
38.000000,-3.464102,60.000000
37.832817,2.249365,60.000000
36.546654,-0.297204,60.000000
38.742748,-0.288909,60.000000
37.472211,0.793178,60.000000
37.423548,-0.966409,60.000000
37.794714,-2.325450,60.000000
38.635724,-1.536709,60.000000
34.141635,2.283989,60.000000
33.597526,1.789685,60.000000
33.232217,1.117994,60.000000
33.013233,0.362627,60.000000
36.417495,-2.081022,60.000000
35.284680,-1.820055,60.000000
36.229287,-1.126144,60.000000
33.357358,-1.527949,60.000000
34.144171,-0.941373,60.000000
34.201562,-2.131045,60.000000
36.766939,1.621528,60.000000
36.118718,1.997705,60.000000
35.125521,1.534464,60.000000
34.156384,1.134066,60.000000
33.817226,0.286635,60.000000
34.854309,0.293569,60.000000
36.088013,0.732187,60.000000
35.474058,-0.466029,60.000000
3.406160,-0.914743,60.000000
0.909957,-3.385854,60.000000
2.489342,-2.488802,60.000000
3.043740,-1.772399,60.000000
1.766696,-3.031628,60.000000
3.536808,0.000622,60.000000
0.930574,3.466342,60.000000
2.526824,2.527693,60.000000
3.427217,0.921555,60.000000
1.800572,3.096068,60.000000
3.077068,1.791690,60.000000
0.000004,-3.781009,60.000000
3.655964,-0.979613,60.000000
0.977159,-3.646808,60.000000
2.674245,-2.674105,60.000000
3.273661,-1.895393,60.000000
1.892570,-3.268281,60.000000
3.789458,0.000004,60.000000
0.986933,3.683286,60.000000
2.691470,2.691595,60.000000
3.665668,0.982213,60.000000
1.908398,3.297337,60.000000
3.288948,1.903909,60.000000
35.076968,-3.435012,60.000000
33.475210,-2.525211,60.000000
32.564422,-0.923636,60.000000
34.206164,-3.082561,60.000000
32.918671,-1.793813,60.000000
32.458308,-0.000434,60.000000
35.999816,-3.553690,60.000000
35.078998,3.425942,60.000000
33.488668,2.511449,60.000000
32.579906,0.918739,60.000000
34.209636,3.075495,60.000000
35.999631,3.536870,60.000000
32.941890,1.780639,60.000000
39.391763,-0.911504,60.000000
36.916769,-3.412591,60.000000
38.500376,-2.500498,60.000000
39.048408,-1.775588,60.000000
37.780853,-3.058349,60.000000
39.527979,0.000260,60.000000
39.404117,0.915226,60.000000
38.507483,2.507615,60.000000
36.916710,3.412230,60.000000
39.061255,1.782839,60.000000
37.778401,3.053986,60.000000
35.016856,-3.669142,60.000000
33.309561,-2.690573,60.000000
32.330549,-0.983226,60.000000
34.094901,-3.291328,60.000000
32.709159,-1.904952,60.000000
32.208322,-0.000005,60.000000
36.000003,-3.797132,60.000000
35.017949,3.665065,60.000000
33.315611,2.684250,60.000000
32.337673,0.981318,60.000000
34.096528,3.288142,60.000000
35.999995,3.789486,60.000000
32.719742,1.899019,60.000000
39.649490,-0.977878,60.000000
36.980405,-3.658921,60.000000
38.679409,-2.679273,60.000000
39.275903,-1.896624,60.000000
37.899181,-3.280330,60.000000
39.785445,0.000004,60.000000
39.655152,0.979395,60.000000
38.682507,2.682640,60.000000
36.980362,3.658761,60.000000
39.281727,1.899947,60.000000
37.897990,3.278390,60.000000
